Artist,Album,Score
Snake Oil,Snake Oil,7
Arctic Monkeys,Suck It and See,5
Woods,Sun and Shade,5
Planningtorock,W,2
Havok,Time Is Up,8
Death Cab for Cutie,Codes and Keys,7
Theophilus London,Lover's Holiday,8
My Morning Jacket,Circuital,5
Master Musicians of Bukkake,Totem 3,7
Coma Cinema,Blue Suicide,7
Boris,Heavy Rocks / Attention Please,6
Elzhi,Elmatic,8
Balkans,Balkans,7
This Will Destroy You,Tunnel Blanket,6
The UV Race,Homo,8
Amon Tobin,ISAM,7
Jesu,Ascension,5
Manchester Orchestra,Simple Math,4
Liturgy,Aesthethica,8
The Lonely Island,Turtleneck and Chain,5
Wild Beasts,Smother,7
"Tyler,the Creator",Goblin,4
Death Grips,Exmilitary,8
The Antlers,Burst Apart,4
Fleet Foxes,Helplessness Blues,9
Explosions In the Sky,"Take Care, Take Care, Take Care",5
Beastie Boys,Hot Sauce Committee Part Two,9
CunninLynguists,Oneirology,8
Bill Callahan,Apocalypse,6
The Kills,Blood Pressures,4
tUnE-yArDs,W H O K I L L,7
Rotten Sound,Cursed,5
Wormrot,Dirge,8
Foo Fighters,Wasting Light,6
Metronomy,The English Riviera,7
Crystal Stilts,In Love With Oblivion,8
The Weeknd,House of Balloons,3
TV on the Radio,Nine Types of Light,6
Timber Timbre,Creep On Creepin' On,8
The Vaccines,What Did You Expect From the Vaccines?,6
Holy Ghost!,Holy Ghost!,8
Panda Bear,Tomboy,5
Trap Them,Darker Handcraft,7
Big K.R.I.T.,Returnof4eva,9
Bibio,Mind Bokeh,5
Craft Spells,Idle Labor,8
The Pains of Being Pure at Heart,Belong,8
The Strokes,Angles,7
Reks,R.E.K.S.,8
Burzum,Fallen,6
Raekwon,Shaolin vs. Wu-Tang,5
Lupe Fiasco,Lasers,3
Tim Hecker,"Ravedeath, 1972",8
Weedeater,Jason...The Dragon,7
Beady Eye,"Different Gear, Still Speeding",3
The Mountain Goats,All Eternals Deck,8
Siriusmo,Mosaik,7
Yuck,Yuck,5
Fashawn,Higher Learning Vol. 2,6
PJ Harvey,Let England Shake,8
Toro Y Moi,Underneath the Pine,6
Colin Stetson,New History Warfare Vol. 2: Judges,8
Radiohead,The King of Limbs,6
Nicolas Jaar,Space Is Only Noise,8
Vreid,V,6
Lil B,Angels Exodus,3
Mogwai,"Hardcore Will Never Die, but You Will",8
Natural Child,Natural Child,8
James Blake,James Blake,7
Cut Copy,Zonoscope,5
Earth,"Angels of Darkness, Demons of Light I",7
Dumbo Gets Mad,Elephants at the Door,8
John Vanderslice,White Wilderness,6
Braids,Native Speaker,7
Kvelertak,Kvelertak,8
The Decemberists,The King Is Dead,4
Destroyer,Kaputt,9
Fergus & Geronimo,Unlearn,8
White Lies,Ritual,4
Smith Westerns,Dye It Blonde,7
A-1,After School Special,7
Ghost,Opus Eponymous,8
Cage the Elephant,"Thank You, Happy Birthday",5
British Sea Power,Valhalla Dancehall,8
Wire,Red Barked Tree,5
Cake,Showroom of Compassion,7
All Pigs Must DIe,All Pigs Must DIe,7
jj,Kills,3
M.I.A.,ViCKi LEEKX,6
Shad,TSOL,6
Gorillaz,The Fall,5
Big Blood,Dark Country Magic,7
Ghostface Killah,Apollo Kids,8
The Souljazz Orchestra,Rising Sun,8
Röyksopp,Senior,5
Anika,Anika,3
Kids & Explosions,Shit Computer,8
Skrillex,Scary Monsters and Nice Sprites,7
Tonetta,777 Volume One,6
"Tyler,the Creator",Bastard,7
Off!,First Four,8
Maserati,Pyramid of the Sun,7
Glasser,Ring,8
Glasser,Ring,8
Girls,Broken Dreams Club,5
Girl Talk,All Day,8
Agalloch,Marrow of the Spirit,8
Kanye West,My Beautiful Dark Twisted Fantasy,6
Teebs,Ardour,6
Weekend,Sports,8
Cee Lo Green,The Lady Killer,7
Matt & Kim,Sidewalks,5
Gold Panda,Lucky Shiner,7
Kid Cudi,Man on the Moon II: The Legend of Mr. Rager,6
Das Racist,"Shut Up, Dude / Sit Down, Man",6
Brian Eno,Small Craft On A Milk Sea,8
Electric Wizard,Black Masses,6
How To Dress Well,Love Remains,4
Bongripper,Satan Worshipping Doom,8
Shobaleader One (Squarepusher),d'Demonstrator,5
Diamond Rings,Special Affections,8
Warpaint,The Fool,6
Matthew Dear,Black City,7
Zach Hill,Face Tat,5
Kings of Leon,Come Around Sundown,4
The Gaslamp Killer,Death Gate,7
Avey Tare,Down There,5
Sharon Van Etten,Epic,7
Luke Abbott,Holkham Drones,8
The Fresh & Onlys,Play It Strange,4
Belle and Sebastian,Belle and Sebastian Write About Love,6
Sufjan Stevens,The Age of Adz,6
Mark Ronson & The Business Intl.,Record Collection,5
Twin Shadow,Forget,8
Abe Vigoda,Crush,4
The Tallest Man On Earth,Sometimes the Blues Is Just a Passing Bird,8
Salem,King Night,2
Women,Public Strain,9
Neil Young,Le Noise,5
No Age,Everything In Between,6
Nails,Unsilent Death,9
Deerhunter,Halcyon Digest,8
Swans,My Father Will Guide Me Up a Rope to the Sky,6
Flying Lotus,Pattern+Grid World,8
Black Mountain,Wilderness Heart,6
Black Milk,Album of the Year,4
Future Islands,In Evening Air,7
Chromeo,Business Casual,9
The Walkmen,Lisbon,5
Grinderman,Grinderman 2,7
Blonde Redhead,Penny Sparkle,8
of Montreal,False Priest,5
Weezer,Hurley,7
Tera Melos,Patagonian Rats,5
Watain,Lawless Darkness,6
Miami Horror,Illumination,7
Interpol,Interpol,5
Magic Kids,Memphis,8
Mogwai,Special Moves,8
Klaxons,Surfing the Void,4
Matmos and So Percussion,Treasure State,6
Sufjan Stevens,All Delighted People,8
Teen Daze,Four More Years,7
Iron Maiden,The Final Frontier,6
Thou,Summit,7
Various Artists,Afro-Beat Airways,8
Autolux,Transit Transit,6
The Budos Band,The Budos Band III,5
Daughters,Daughters,8
Ceremony,Rohnert Park,8
Arcade Fire,The Suburbs,8
Wild Nothing,Gemini,7
Best Coast,Crazy For You,5
Mono/Poly,Paramatma,6
Baths,Cerulean,8
The Books,The Way Out,9
MIA,Maya (/\/\ /\ Y /\),5
Dirty Projectors and Bjork,Mount Wittenberg Orca,8
Superhumanoids,Urgency,8
Noveller,Desert Fires,7
Big Boi,Sir Lucious Left Foot: The Son of Chico Dusty,6
Club 8,The People's Record,5
Wavves,King of the Beach,8
The Roots,How I Got Over,8
Wolf Parade,Expo 86,6
Various Artists,Cloud Cuckooland,7
Emeralds,Does It Look Like I'm Here?,6
Laurie Anderson,Homeland,8
Janelle Monáe,The ArchAndroid,8
Uffie,Sex Dreams and Denim Jeans,2
Devo,Something For Everybody,6
The Radio Dept.,Clinging To A Scheme,8
Villagers,Becoming A Jackal,6
Foals,Total Life Forever,4
The Drums,The Drums,8
Suckers,Wild Smile,7
Ariel Pink's Haunted Graffiti,Before Today,8
Here We Go Magic,Pigeons,7
Sleepy Sun,Fever,7
Melvins,The Bride Screamed Murder,5
Tame Impala,Innerspeaker,6
Guilty Simpson,OJ Simpson,6
Ratatat,LP4,8
Xasthur,Portal of Sorrow,4
Tobacco,Maniac Meat,7
Harlem,Hippies,7
Sleigh Bells,Treats,3
The Black Keys,Brothers,7
LCD Soundsystem,This Is Happening,9
The Dead Weather,Sea of Cowards,5
The New Pornographers,Together,7
The National,High Violet,6
Woods,At Echo Lake,8
Holy Fuck,Latin,7
Little Women,Throat,9
Flying Lotus,Cosmogramma,8
Broken Social Scene,Forgiveness Rock Record,4
Crystal Castles,Crystal Castles,7
Darkthrone,Circle the Wagons,5
Various Artists,Pomegranates,8
Happy Birthday,Happy Birthday,6
Caribou,Swim,6
Iggy and the Stooges,Raw Power  (Legacy Remaster),5
The Tallest Man On Earth,The Wild Hunt,8
Titus Andronicus,The Monitor,7
Burzum,Belus,4
Black Tambourine,Black Tambourine,7
Jonsi,Go,6
Autechre,Oversteps,5
The Morning Benders,Big Echo,6
MGMT,Congratulations,8
Portugal. The Man,American Ghetto,3
Gonjasufi,A Sufi and a Killer,9
Arckanum,ÞÞÞÞÞÞÞÞÞÞÞ,8
Broken Bells,Broken Bells,5
Liars,Sisterworld,6
High On Fire,Snakes for the Divine,8
The Knife,"Tomorrow, In a Year Album ",3
Gorillaz,Plastic Beach,7
