Artist,Album,Score
Porches,Pool,5
Kanye West,The Life of Pablo,8
Lucinda Williams,The Ghosts of Highway 20,6
Bones,Useless,7
Majid Jordan,Majid Jordan,4
Future,EVOL,6
Young Thug,I'm Up,5
DIIV,Is The Is Are,6
Bloc Party,Hymns,6
Rihanna,ANTI,4
Massive Attack,Ritual Spirit,8
Chairlift,Moth,7
Savages,Adore Life,6
Daughter,Not To Disappear,3
Jesu / Sun Kil Moon,Jesu / Sun Kil Moon,6
Ander .Paak,Malibu,7
Ty Segall,Emotional Mugger,8
Boots,AQUɅRIA,6
Meridian Brothers,Los Suicidas,7
Hinds,Leave Me Alone,6
David Bowie,★ (Blackstar),9
Benjamin Clementine,At Least For Now,7
Lil Ugly Mane,Oblivion Access,5
Krallice,Hyperion,7
Cage the Elephant,Tell Me I'm Pretty,6
Pusha T,King Push – Darkest Before Dawn: The Prelude,7
Baroness,Purple,8
Willow Smith,Ardipithecus,3
Christian Scott aTunde Adjuah,Stretch Music,7
Beach Slang,The Things We Do To Find People Who Feel Like Us,7
Wiki,Lil Me,7
Archy Marshall,A New Place 2 Drown,4
G-Eazy,When it's Dark Out,4
Cavanaugh,Time & Materials,6
Coldplay,A Head Full of Dreams,5
Erykah Badu,But You Caint Use My Phone,6
Sophie,Product,8
Kid Cudi,Speedin' Bullet 2 Heaven,0
James Ferraro,Skid Row,4
Sunn o))),Kannon,6
Waka Flocka Flame,Flockaveli 1.5,7
Arca,Mutant,6
Freddie Gibbs,Shadow of a Doubt,7
Adele,25,7
Ty Dolla $ign,Free TC,6
King Gizzard & the Lizard Wizard,Paper Mâché Dream Balloon,7
Anna Von Hausswolff,The Miraculous,6
Justin Bieber,Purpose,5
Logic,The Incredible True Story,6
The Garden,Haha,5
Goldlink,"And After That, We Didn't Talk",2
Busdriver,Thumbs,6
Kylesa,Exhausting Fire,7
Grimes,Art Angels,7
Car Seat Headrest,Teens of Style,7
Panopticon,Autumn Eternal,8
M.E.D. Blu and Madlib,Bad Neighbor,4
Iglooghost,Chinese Nü Yr,8
Foxing,Dealer,3
Kirk Knight,Late Knight Special,5
Twitching Tongues,Disharmony,3
Protomartyr,The Agent Intellect,7
Machine Gun Kelly,General Admission,3
Joanna Newsom,Divers,8
Uncommon Nasa,Halfway,7
The Game,The Documentary 2.5,8
Raury,All We Need,5
Big K.R.I.T.,It's Better This Way,5
Deerhunter,Fading Frontier,6
Beach House,Thank Your Lucky Stars,5
Neon Indian,VEGA INTL. Night School,7
The World Is A Beautiful Place & I Am No Longer Afraid To Die,Harmlessness,7
CHVRCHES,Every Open Eye,5
New Order,Music Complete,6
Alex G,Beach Music,6
The Game,The Documentary 2,6
Loma Prieta,Self Portrait,7
Disclosure,Caracal,6
Wavves,V,4
Kurt Vile,B'lieve I'm Goin Down...,6
Fetty Wap,Fetty Wap,5
Black Breath,Slaves Beyond Death,6
Deafheaven,New Bermuda,6
milo,So the Flies Don't Come,8
The Front Bottoms,Back On Top,6
Julia Holter,Have You In My Wilderness,9
Ought,Sun Coming Down,8
Drake & Future,What A Time To Be Alive,6
Lana Del Rey,Honeymoon,5
Mac Miller,GO:OD AM,7
The Underachievers,Evermore: The Art of Duality,8
Battles,La Di Da Di,6
The Libertines,Anthems For Doomed Youth,6
Whitey Morgan and the 78's,Sonic Ranch,7
Myrkur,M,6
Jay Rock,90059,6
FIDLAR,Too,4
The Wonder Years,No Closer To Heaven,5
Iron Maiden,The Book of Souls,6
Dam-Funk,Invite the Light,7
Travis Scott,Rodeo,8
Miley Cyrus,Miley Cyrus and Her Dead Petz,1
Foals,What Went Down,5
Krallice,Ygg Huur,6
Deradoorian,The Expanding Flower Planet,6
Destroyer,Poison Season,8
The Weeknd,Beauty Behind the Madness,5
Dope Body,Kunk,7
Carly Rae Jepsen,Emotion,7
Beach House,Depression Cherry,6
Cal Chuchesta,The New CALassic,3
Ghost,Meliora,9
Health,Death Magic,5
Mick Jenkins,Wave[s],6
FKA twigs,M3LL155X,9
Cattle Decapitation,The Anthropocene Extinction,8
Grave Babies,Holographic Violence,6
Dr. Dre,Compton,7
Chelsea Wolfe,Abyss,8
Lil Dicky,Professional Rapper,2
Lee Scott,Butter Fly,6
Lianne La Havas,Blood,8
Wilco,Star Wars,6
Pissgrave,Suicide Euphoria,7
Mac DeMarco,Another One,7
Titus Andronicus,The Most Lamentable Tragedy,4
Sleaford Mods,Key Markets,8
Hopsin,Pound Syndrome,3
Injury Reserve,Live From the Dentist Office,8
Quelle Chris,Innocent Country,7
RP Boo,"Fingers, Bank Pads & Shoeprints",7
Corpo-Mente,Corpo-Mente,7
Future,DS2,6
The Chemical Brothers,Born In the Echoes,7
Ratatat,Magnifique,7
Everything Everything,Get to Heaven,8
Tame Impala,Currents,7
Lil Wayne,Free Weezy Album,4
The Internet,Ego Death,5
Miguel,Wildheart,5
Meek Mill,Dreams Worth More Than Money,7
Refused,Freedom!,4
King Los,"God, Money, War",6
Desaparecidos,Payola,5
Citizen,Everybody Is Going To Heaven,3
Czarface,Every Hero Needs A Villain,8
Vince Staples,Summertime 06,6
Lil Ugly Mane,Third Side of Tape,8
Thundercat,The Beyond / Where the Giants Roam,6
KEN mode,Success,8
mewithoutYOU,Pale Horses,5
Ash Koosha,GUUD,8
Hudson Mohawke,Lantern,5
Denzel Curry,32 Zel / Planet Shrooms,6
High On Fire,Luminiferous,8
Florence + The Machine,"How Big, How Blue, How Beautiful",7
Muse,Drones,5
Sun Kil Moon,Universal Themes,6
Jamie xx,In Colour,7
Thee Oh Sees,Mutilator Defeated At Last,6
Donnie Trumpet & the Social Experiment,Surf,4
Algiers,Algiers,8
Unknown Mortal Orchestra,Multi-Love,8
A$AP Rocky,At. Long. Last. A$AP,5
Hot Chip,Why Make Sense?,6
Hop Along,Painted Shut,8
Dr. Yen Lo,Days With Dr. Yen Lo,6
Shamir,Ratchet,5
Twenty One Pilots,Blurryface,4
Prurient,Frozen Niagara Falls,8
Faith No More,Sol Invictus,6
Jim O'Rourke,Simple Songs,6
Snoop Dogg,Bush,5
Blanck Mass,Dumb Flesh,6
Holly Herndon,Platform,6
Peste Noire,La Chaise-Dyable,7
Hiatus Kaiyote,Choose Your Weapon,5
The Tallest Man On Earth,Dark Bird Is Home,6
Wale,The Album About Nothing,4
Torres,Sprinter,5
Kamasi Washington,The Epic,9
Blur,The Magic Whip,7
Paul de Jong,IF,7
Colin Stetson and Sarah Neufeld,Never Were the Way She Was,8
Yelawolf,Love Story,3
Tribulation,The Children of the Night,7
Toro Y Moi,What For?,7
Marching Church,This World Is Not Enough,6
Alabama Shakes,Sound & Color,8
Young Thug,Barter 6,5
Dance Gavin Dance,Instant Gratification,1
Squarepusher,Damogen Furies,6
The Mountain Goats,Beat The Champ,8
Drenge,Undertow,5
Death Cab For Cutie,Kintsugi,5
"Tyler,the Creator",Cherry Bomb,3
Twin Shadow,Eclipse,3
Shlohmo,Dark Red,6
Young Fathers,White Men Are Black Men Too,8
Courtney Barnett,"Sometimes I Sit and Think, and Sometimes I Just Sit",5
Portico,Living Fields,3
Billy Woods,"Today, I Wrote Nothing",7
Purity Ring,Another Eternity,4
Earl Sweatshirt,"I Don't Like Shit, I Don't Go Outside",6
Liturgy,The Ark Work,7
