Artist,Album,Score,acousticness,danceability,energy,instrumentalness,liveness,speechiness,valence
Horrendous,Idol,9,0.5579999999999999,0.6397692307692308,0.25548461538461537,0.7565384615384615,0.2968307692307693,0.07476153846153846,0.38923076923076927
Sheck Wes,Mudboy,6,0.20372585714285713,0.7487857142857143,0.5622142857142857,0.06244177714285715,0.13945714285714286,0.2244642857142857,0.4380928571428571
Behemoth,I Loved You at Your Darkest,7,0.0035680025,0.281225,0.9350833333333334,0.22260750000000004,0.175875,0.11589166666666667,0.10439999999999999
Marissa Nadler,For My Crimes,7,0.7326363636363635,0.33790909090909094,0.28345454545454546,0.0016731318181818179,0.1348909090909091,0.03055454545454545,0.1515
twenty one pilots,Trench,8,0.16517071428571425,0.6672142857142858,0.6185714285714285,0.035959793571428575,0.18808571428571427,0.08799285714285714,0.438
Logic,YSIV,5,0.16558928571428572,0.6993571428571429,0.8471428571428572,6.470714285714286e-06,0.28316428571428565,0.21255714285714286,0.6169999999999999
Kero Kero Bonito,Time 'n' Place,8,0.3574866666666667,0.5728333333333334,0.6782500000000001,0.07102249750000002,0.25023333333333336,0.06659166666666667,0.42159166666666675
Tim Hecker,Konoyo,6,0.578857142857143,0.1304142857142857,0.42899999999999994,0.8031428571428572,0.16105714285714287,0.04145714285714286,0.06838571428571429
Lil Wayne,Tha Carter V,6,0.2041847826086957,0.7345217391304348,0.646,4.2478260869565215e-06,0.200195652173913,0.2778086956521739,0.45848260869565216
Lupe Fiasco,DROGAS Wave,7,0.41770833333333335,0.5945,0.6748041666666668,0.03202032083333334,0.2264083333333334,0.3257749999999999,0.4421083333333334
JMSN,Velvet,7,0.75,0.67,0.419,0.135,0.0976,0.0751,0.513
Hozier,Nina Cried Power,6,0.35587250000000004,0.393,0.53325,0.0292925,0.10252499999999999,0.061725,0.39905
milo,budding ornithologists are weary of tired analogies,6,0.6547333333333333,0.6515333333333333,0.6249333333333333,0.006443387333333332,0.16604000000000002,0.33326666666666666,0.5947333333333334
Brockhampton,iridescense,7,0.2485546666666667,0.6155333333333334,0.6748,0.0028036413333333335,0.2376533333333333,0.19766000000000003,0.3993000000000001
Guerilla Toss,Twisted Crystal,8,0.02618366666666666,0.555,0.9186666666666665,0.07506804444444444,0.19255555555555556,0.06405555555555556,0.5885555555555555
Spiritualized,And Nothing Hurt,7,0.46776666666666666,0.34111111111111103,0.5003333333333333,0.34486,0.2038888888888889,0.035500000000000004,0.3050999999999999
6LACK,East Atlanta Love Letter,4,0.5366714285714286,0.5703571428571428,0.41400000000000003,0.0014670078571428573,0.1340285714285714,0.19144999999999998,0.23960714285714288
Noname,Room 25,8,0.6428181818181818,0.6321818181818183,0.5399999999999999,0.05277039363636363,0.1688727272727273,0.2034818181818182,0.5867272727272728
Aphex Twin,Collaspe,8,0.969,0.311,0.0644,0.825,0.152,0.0334,0.0987
Russ,Zoo,3,0.1730195714285714,0.7322857142857142,0.6363571428571427,2.368928571428572e-05,0.13914285714285715,0.24762142857142858,0.45028571428571423
Yves Tumor,Safe in the Hands of Love,7,0.009393974000000001,0.39479999999999993,0.6822,0.44651818,0.17715999999999996,0.05018,0.31196999999999997
$uicideBoy$,I Want To Die in New Orleans,6,0.09551642857142857,0.7289285714285713,0.6276428571428571,0.022476027857142856,0.2946642857142857,0.2105857142857143,0.32082857142857135
Thou,Magnus,6,0.37285833333333335,0.2967291666666667,0.5384166666666667,0.8571666666666666,0.11184583333333335,0.049400000000000006,0.09251666666666668
Okonolo,Cantos,7,0.6989333333333333,0.5684,0.5998666666666668,0.12560434933333334,0.13742666666666667,0.037000000000000005,0.5272
Armand Hammer,Paraffin,8,0.18900133333333333,0.5059333333333333,0.6434666666666666,0.016633279333333334,0.2495333333333333,0.33133333333333326,0.35080000000000006
IDLES,Joy as an Act of Resistance,9,0.014543158333333334,0.36549999999999994,0.8660833333333334,0.05989129499999999,0.22685,0.09753333333333335,0.2637
George Clinton,Slide,7,0.0807,0.827,0.469,8.12e-06,0.207,0.341,0.196
Eminem,Kamikaze,4,0.24346923076923072,0.7768461538461539,0.6326153846153846,0.0,0.26619230769230773,0.3834615384615384,0.5315384615384615
Interpol,Marauder,4,0.14988114307692307,0.36768461538461533,0.7999999999999999,0.6898269230769232,0.19192307692307692,0.0499923076923077,0.3876692307692307
Blood Orange,Negro Swan,8,0.43133750000000004,0.5741875,0.38837499999999997,0.094593188125,0.22326249999999997,0.07715000000000001,0.39271875
Oh Sees,Smote Reverser,6,0.0106939,0.36272727272727273,0.847090909090909,0.6494545454545455,0.1673090909090909,0.07461818181818182,0.29046363636363637
Hermit and the Recluse,Orpheus vs. the Sirens,8,0.17169340000000002,0.31720000000000004,0.7234,0.002839466,0.36190000000000005,0.13301999999999997,0.4605
Louis Cole,Time,8,0.03466046666666667,0.8484666666666666,0.6968,0.0009204233333333332,0.16736,0.24174666666666667,0.5643999999999999
Ariana Grande,Sweetener,7,0.22777333333333333,0.6871999999999999,0.5519999999999999,8.374000000000001e-06,0.14294,0.06553333333333333,0.46046000000000004
Mitski,Be The Cowboy,6,0.28216764285714285,0.3826428571428571,0.5379714285714285,0.07876201928571429,0.23032142857142857,0.033,0.33724999999999994
Young Thug,Slime Language,5,0.036598,0.8133333333333332,0.4954,0.00072,0.14927333333333334,0.30978,0.46548
Iglooghost,Steel Mogu,7,0.003033,0.3403999999999999,0.682,0.19197999999999998,0.3094,0.11357999999999999,0.2334
Iglooghost,Clear Tamei,8,0.08012,0.47800000000000004,0.6546000000000001,0.018191397999999998,0.5382,0.08102000000000001,0.2932
Trippie Redd,Life's a Trip,5,0.3531399999999999,0.6078571428571429,0.5652142857142857,0.0020796814285714287,0.13597142857142858,0.11150714285714285,0.39585714285714285
HMLTD,Hate Music Last Time Delete,8,0.025456199999999995,0.49079999999999996,0.8612,0.15064861599999999,0.15936,0.08910000000000001,0.4104
Nicki Minaj,Queen,5,0.14754736842105262,0.759578947368421,0.6714210526315791,0.016139842105263157,0.18554736842105266,0.2026736842105263,0.4534736842105262
Valee,Good Job, You Found Me,3,0.038990000000000004,0.8793333333333333,0.5686666666666667,0.006111666666666667,0.1047,0.24368333333333334,0.41500000000000004
